iteration,oracle_average,neural_network_average,speedup_average,oracle_std,neural_network_std,speedup_std
105,0.9942819097,0.9044145844,1.8633202804,0.0000000000,0.0683600030,0.4875439888
106,0.9968826299,0.9502708444,2.3347417687,0.0000000000,0.0481675874,1.1389283735
107,0.9929895394,0.9077560355,1.8932160446,0.0000000000,0.0528904541,0.4570338974
108,0.9940251148,0.8887659397,1.8304914079,0.0000000000,0.0673508857,0.4249232076
109,0.9947796610,0.8342842243,1.7666378862,0.0000000000,0.0783399401,0.4245688037
110,0.9996890014,0.7409781530,5.1074820050,0.0000000000,0.2479782992,10.9409185710
111,0.9944204402,0.9280070795,1.8906719066,0.0000000000,0.0740663318,0.4556700175
112,0.9966554349,0.9126087690,1.9803624059,0.0000000000,0.0861816016,0.9559006077
113,0.9950815697,0.9198686389,1.9386076514,0.0000000000,0.0836449257,0.5224731417
114,0.9929667041,0.9202349091,1.9164475344,0.0000000000,0.0567247383,0.4051224430
115,0.9958365055,0.9030696654,2.0157244990,0.0000000000,0.1372421129,0.8477647345
116,0.9962607013,0.9385740707,1.9887944991,0.0000000000,0.0708937747,0.5036565465
117,0.9968318382,0.9210560904,1.9979798286,0.0000000000,0.0785872714,0.5627175275
118,0.9911628632,0.8971184765,2.0833912174,0.0000000000,0.0430537891,0.8852046207
119,0.9907596063,0.6930733628,1.4777872718,0.0000000000,0.0951906307,0.3420973710
120,0.9927251155,0.8188566460,1.6759431220,0.0000000000,0.0965244671,0.4535618908
121,0.9961380535,0.7978685392,1.7306718237,0.0000000000,0.1356410623,0.5248354973
122,0.9964505952,0.7943484524,1.6177002415,0.0000000000,0.0759482298,0.3880043967
123,0.9838275598,0.7712369604,1.5654456134,0.0000000000,0.1318694492,0.5625503605
124,0.9968716720,0.8554719043,1.9603715190,0.0000000000,0.1383284383,0.7611922152
125,0.9950611538,0.8338634189,1.8432096424,0.0000000000,0.1158340212,0.6766032351
126,0.9993055099,0.7265468694,3.3503299711,0.0000000000,0.2422195606,4.8932215564
127,0.9944898521,0.7810405837,1.7017456498,0.0000000000,0.0782974725,0.4209273087
128,0.9970261697,0.8243549076,2.1464937852,0.0000000000,0.2069455606,1.4311667656
129,0.9914679036,0.6037133360,1.3077826366,0.0000000000,0.1221752532,0.3871713690
130,0.9942198398,0.7134965267,1.5394102614,0.0000000000,0.1173759242,0.4335161874
131,0.9945405777,0.8652399133,2.1785747734,0.0000000000,0.1183621644,1.1054488242
132,0.9956686169,0.7383843167,1.5856163812,0.0000000000,0.1007079714,0.5126506834
133,0.9995910906,0.6993263868,3.0712514730,0.0000000000,0.2417495917,5.8649273598
134,0.9932368804,0.7590175712,1.5643033133,0.0000000000,0.1056091433,0.4951829610
135,0.9938692098,0.7901529132,1.6321761531,0.0000000000,0.0961411731,0.4574435703
136,0.9887030777,0.7831635097,1.6428028202,0.0000000000,0.0848317825,0.3645014155
137,0.9961407389,0.8180267001,1.7741757453,0.0000000000,0.1348132444,0.8427338296
138,0.9945865838,0.7264893680,1.5129552974,0.0000000000,0.1342741406,0.4638019947
139,0.9949758644,0.8041298012,1.6187021508,0.0000000000,0.0799074845,0.3400855409
140,0.9947054931,0.8360201017,1.7590069972,0.0000000000,0.0648112128,0.3630113711
141,0.9952976639,0.8316599452,1.7087350352,0.0000000000,0.0768347229,0.3749537316
142,0.9935069009,0.7375291271,1.6670116652,0.0000000000,0.1108993231,0.5807118185
143,0.9976366322,0.6630921811,1.4715376983,0.0000000000,0.1305904209,0.4670863418
144,0.9991877673,0.9638473946,8.3851773731,0.0000000000,0.1283027532,7.4004386611
145,0.9997384838,0.8249721704,2.8544317871,0.0000000000,0.2216152763,3.9450675415
146,0.9963418756,0.6524135123,1.4973770944,0.0000000000,0.1835178083,0.7030843177
147,0.9976570101,0.8274500751,1.7008650062,0.0000000000,0.0942669295,0.4892512784
148,0.9961926212,0.8545965510,1.8086597119,0.0000000000,0.0601647347,0.4979318447
149,0.9961327277,0.9002840316,1.9175191557,0.0000000000,0.0621610550,0.5736112545
150,0.9971314284,0.9399638434,2.2190198119,0.0000000000,0.0620407421,0.9118951372
151,0.9859492639,0.8003043808,1.6364097183,0.0000000000,0.0714979913,0.3600284424
152,0.9955556659,0.8080298141,1.7074506903,0.0000000000,0.0938993317,0.4081198339
153,0.9972247129,0.8485711377,1.8291876382,0.0000000000,0.1790327385,0.8243324938
154,0.9922213579,0.8413178387,1.8204142488,0.0000000000,0.1306353682,0.6729056968
155,0.9889089871,0.8296938686,1.7571844902,0.0000000000,0.0845563845,0.4025539647
156,0.9899519829,0.9115263775,1.9022885445,0.0000000000,0.0538521436,0.7528307341
157,0.9995772071,0.7410546149,5.3211364019,0.0000000000,0.3311932679,9.0627431135
158,0.9961772042,0.6815844388,1.4044702385,0.0000000000,0.1132374798,0.4003482551
159,0.9947962119,0.6917628414,1.5946024082,0.0000000000,0.1774562166,0.6278414583
160,0.9938465203,0.8396727335,1.7823895879,0.0000000000,0.0749504331,0.5070657834
161,0.9996976322,0.8161773433,8.8760434211,0.0000000000,0.2798955331,12.1390977262
162,0.9926503431,0.8563713462,1.8268648791,0.0000000000,0.0617010366,0.3888199323
163,0.9935867579,0.8675857839,1.8044147634,0.0000000000,0.0699371128,0.4256791279
164,0.9985822105,0.4779005001,1.7264711191,0.0000000000,0.3536045569,1.7219193800
165,0.9977348293,0.7918028508,1.7044112053,0.0000000000,0.2049104759,0.8608630789
166,0.9973754006,0.6571835999,1.4334167464,0.0000000000,0.1629897907,0.4948163939
167,0.9955802285,0.7845489836,1.8261014988,0.0000000000,0.1576583498,0.8824691067
168,0.9934219139,0.7106890034,1.5173931257,0.0000000000,0.0929187563,0.3802283884
169,0.9902794654,0.4810771701,1.2432181528,0.0000000000,0.2370999097,0.7890816970
170,0.9732293933,0.7569408474,1.5453774821,0.0000000000,0.0646903013,0.3053863714
171,0.9985540858,0.9209273233,5.4115825086,0.0000000000,0.1408712229,5.2354341552
172,0.9926226101,0.7874121930,1.6827919395,0.0000000000,0.1028212377,0.4535216681
173,0.9951878493,0.8732896718,2.0082643063,0.0000000000,0.0630690417,0.6391968202
174,0.9969522916,0.8077119516,1.7111751025,0.0000000000,0.1269374979,0.5806912293
175,0.9963204688,0.9459670063,2.3095184919,0.0000000000,0.0537639832,1.1917051197
176,0.9997283312,0.8384387217,4.1663169867,0.0000000000,0.1802926687,7.3956487029
177,0.9969514620,0.8344383131,2.3257185550,0.0000000000,0.1887897220,1.5711099874
178,0.9962986368,0.8584735357,1.7838979181,0.0000000000,0.0841208975,0.4403329890
179,0.9960223381,0.8937424990,2.5015714481,0.0000000000,0.0874096129,1.4177737687
180,0.9990428005,0.9722609636,5.4584146210,0.0000000000,0.0752441087,6.2191449446
181,0.9996456678,0.7924836867,3.5858174156,0.0000000000,0.2468113274,6.9357697177
182,0.9966041108,0.9162671407,1.9024329692,0.0000000000,0.0595916076,0.3994383742
183,0.9965958606,0.6362371017,1.3717593546,0.0000000000,0.1850831970,0.4728272203
184,0.9958304378,0.8048154824,1.6094220315,0.0000000000,0.0910242067,0.3278189977
185,0.9940084326,0.8355424071,1.7395630353,0.0000000000,0.0920135174,0.4796680407
186,0.9912223159,0.8052037926,1.7147861087,0.0000000000,0.1109821020,0.5055709447
187,0.9962644638,0.8196736904,1.7321860230,0.0000000000,0.0904634623,0.4577662748
188,0.9950783266,0.7504638390,1.5838859722,0.0000000000,0.0940661788,0.2800260966
189,0.9969829486,0.5949296475,1.4003594527,0.0000000000,0.1816357181,0.7288277277
190,0.9975913452,0.6598204612,1.4608328414,0.0000000000,0.1845400669,0.5450231427
191,0.9995856663,0.6796438059,4.0023786870,0.0000000000,0.3198360693,5.2568858840
192,0.9951764478,0.8275541995,1.6806432358,0.0000000000,0.0697277798,0.2800206815
193,0.9980214450,0.9324689224,2.1470342790,0.0000000000,0.0712869833,0.9003240882
194,0.9928718814,0.7953397194,1.6408864814,0.0000000000,0.0883552913,0.4186263179
195,0.9937653815,0.8333460141,1.7484050580,0.0000000000,0.0828007119,0.3919075397
196,0.9965287420,0.8655639001,1.8929938353,0.0000000000,0.0855107494,0.6219341246
197,0.9956411188,0.7749775470,1.7114750503,0.0000000000,0.1243535482,0.6806144784
198,0.9974840130,0.4914441137,1.7590883464,0.0000000000,0.2869616955,1.8460198687
199,0.9995352363,0.9833492197,13.0374624714,0.0000000000,0.0067891622,11.7643639102
200,0.9940370669,0.8167931451,1.7547532149,0.0000000000,0.0967674617,0.4865145506
201,0.9976698242,0.8915212997,2.1531559767,0.0000000000,0.1004704837,0.9639531050
202,0.9958985831,0.8145486132,1.6719834234,0.0000000000,0.0777495877,0.3903854263
203,0.9943721634,0.8209040581,1.6978512794,0.0000000000,0.0825416096,0.3091845829
