iteration,oracle_average,neural_network_average,speedup_average,oracle_std,neural_network_std,speedup_std
203,0.9943721634,0.8218826694,1.5903927345,0.0000000000,0.0601855409,0.3519648113
204,0.9993628979,0.9290819409,2.8001683453,0.0000000000,0.0417712339,1.9529004454
205,0.9966292135,0.7748852071,1.6983769599,0.0000000000,0.2296284876,0.5920534675
206,0.9984785717,0.6964251527,1.4393675497,0.0000000000,0.1569269499,0.5547446382
207,0.9971528258,0.6648435243,1.4866161011,0.0000000000,0.1827019404,1.0209795595
208,0.9938858971,0.8369617542,1.7074369870,0.0000000000,0.0767152144,0.3808932350
209,0.9876518542,0.7384821682,1.5845982686,0.0000000000,0.0916570081,0.3353874182
210,0.9958076660,0.6655544148,1.3738356950,0.0000000000,0.1707795510,0.2671256414
211,0.9956875267,0.8531893648,1.5522608127,0.0000000000,0.0952922151,0.2946014129
212,0.9972648281,0.7390723251,1.6110284757,0.0000000000,0.0943160932,0.4531877416
213,0.9990498893,0.4879693739,1.1620577561,0.0000000000,0.2813275301,0.8559682474
214,0.9966560474,0.7882590107,1.6105820394,0.0000000000,0.1039883532,0.5143224335
215,0.9997553370,0.8900845062,6.0100725303,0.0000000000,0.1296129018,8.2331613363
216,0.9995026002,0.6851494774,4.8629920451,0.0000000000,0.2600658369,6.4565083708
217,0.9992597675,0.8847475037,4.1605331361,0.0000000000,0.2156412396,6.8313390069
218,0.9951185495,0.4879621881,1.3193615117,0.0000000000,0.1056599929,0.6484015089
219,0.9912437755,0.8514892109,2.0101627775,0.0000000000,0.2132449578,0.9029687416
220,0.9967096469,0.5577559792,1.7607124455,0.0000000000,0.1927216443,1.5934476933
221,0.9981436812,0.4422595525,1.0310546918,0.0000000000,0.1095366716,0.3735018929
222,0.9974727615,0.5833335788,1.1842210061,0.0000000000,0.1882011617,0.4635958253
223,0.9987739917,0.7683741533,3.7882995095,0.0000000000,0.3606049928,5.4037844481
224,0.9932229384,0.8545706594,1.7067487530,0.0000000000,0.0672668146,0.2234136614
225,0.9980562501,0.4949099507,0.9950465296,0.0000000000,0.2762780862,0.3765284441
226,0.9892104638,0.7503176165,1.5037901873,0.0000000000,0.1050755049,0.5412288593
227,0.9995506244,0.9623412189,2.6581311820,0.0000000000,0.0346520013,1.4999182318
228,0.9957303991,0.7278335965,2.0935161357,0.0000000000,0.2522331025,1.3855513599
229,0.9935233586,0.8263398027,1.6178058472,0.0000000000,0.1178490398,0.3240329567
230,0.9927689256,0.7718229844,1.5112218722,0.0000000000,0.1114409624,0.2502152288
231,0.9911875471,0.8950567690,2.0563579999,0.0000000000,0.0892550638,1.2014990755
232,0.9985996096,0.9650616401,10.1328070059,0.0000000000,0.0181976424,5.1240267620
233,0.9920776449,0.7866323657,1.4583304292,0.0000000000,0.1264151432,0.2099166914
234,0.9993393019,0.9237939916,5.8062583035,0.0000000000,0.1178546756,9.0374866688
235,0.9884285033,0.7324284679,1.6845985600,0.0000000000,0.1134782240,0.5221132543
236,0.9985131550,0.8127276873,2.0552595318,0.0000000000,0.1909765948,1.4911547117
237,0.9991332630,0.7104276438,2.5565104880,0.0000000000,0.2360589130,1.5593999255
238,0.9996274260,0.9651315717,12.1591482753,0.0000000000,0.0097054852,12.6074622181
239,0.9908053023,0.8225593611,1.8225411714,0.0000000000,0.0619745545,0.7011058065
240,0.9990976785,0.8112389482,6.5863414898,0.0000000000,0.2082947271,7.8032117420
241,0.9856719920,0.7499596569,1.6707328395,0.0000000000,0.0742441760,0.4678354695
242,0.9892244898,0.7544888889,1.6230072401,0.0000000000,0.0547372013,0.3126721706
243,0.9929274749,0.7534686195,2.1993602539,0.0000000000,0.1511481910,0.7421957106
244,0.9937222734,0.5172319721,1.8141376921,0.0000000000,0.1339437107,0.8229046182
245,0.9995485248,0.6096133600,1.2960790726,0.0000000000,0.2524488501,0.6845876514
246,0.9982253961,0.7045961529,1.3694534768,0.0000000000,0.2795551410,0.6331914902
247,0.9997631105,0.6707156590,35.1466142202,0.0000000000,0.2903373005,62.1680464525
248,0.9907672372,0.7895901949,1.6454838656,0.0000000000,0.0912836864,0.3104866635
249,0.9873034102,0.6722954172,1.5291922624,0.0000000000,0.1435120664,0.1846235130
250,0.9921507064,0.8122377156,1.6050826057,0.0000000000,0.1095952053,0.2706812054
251,0.9929647714,0.8654672944,1.7623872691,0.0000000000,0.0891101951,0.4731549407
252,0.9871199004,0.8847507856,2.3137148750,0.0000000000,0.1044820511,1.4564865239
