iteration,accuracy
386,0.8033240997,0.0122265461
387,0.8113265620,0.0420261722
388,0.8420026675,0.0090412344
389,0.8148148148,0.0084078388
390,0.8215861291,0.0198935095
391,0.8228172771,0.0113041621
392,0.8132758798,0.0136456099
393,0.8194316200,0.0119690063
394,0.8010669950,0.0126238542
395,0.7839335180,0.0216547357
396,0.8174053555,0.0204590115
397,0.8005540166,0.0129435326
398,0.8018236380,0.0192523405
399,0.8172899354,0.0207727376
